Fat Duck,3,Yes,"High Street, Bray, Maidenhead, Berkshire SL6 2AQ",London,British,Bray,$,51.522831,-0.718985
Waterside Inn,3,Yes,"Ferry Road, Maidenhead, SL6 2AT",London,British,Bray,$,51.508453,-0.700076
Gordon Ramsay,3,Yes,"68 Royal Hospital Road, London SW3 4HP",London,British,Chelsea,$,51.485476,-0.161966
Alain Ducasse at The Dorchester,3,Yes,"Park Lane, London, W1K 1QA",London,British,Mayfair,$,51.510115,-0.156053
The Ledbury,2,Yes,"127 Ledbury Road, London W11 2AQ",London,British,North Kensington,$,51.516663,-0.199868
Marcus Wareing at The Berkeley,2,Yes,"The Berkeley Hotel, Wilton Place, London, Greater London SW1X 7RL",London,British,Belgravia,$,51.502155,-0.156079
Le Gavroche,2,Yes,"43 Upper Brook Street, London W1K 7QR",London,British,Mayfair,$,51.510942,-0.155018
Helene Darroze at The Connaught,2,Yes,"Carlos Place, Mayfair, London, W1K 2AL",London,British,Mayfair,$,51.510526,-0.149608
Hibiscus,2,Yes,"29 Maddox St, London W1S 2PA",London,British,Mayfair,$,51.512741,-0.142103
Square,2,Yes,"6-10 Bruton St, London W1J 6PU",London,British,Mayfair,$,51.510616,-0.144036
L Atelier de Joel Robuchon,2,Yes,"13-15 West Street, London WC2H 9NE",London,British,Strand & Covent Garden,$,51.51305,-0.128602
Royal Oak,1,Yes,"Holyport Real Tennis Club, Holyport St, Maidenhead, Berkshire SL6 3JN",London,British,Bray,$,51.477788,-0.754258
L'Ortolan,1,Yes,"Church Lane, Shinfield, Wokingham RG2 9BY, Berkshire",London,British,Reading/Shinfield,$,51.406131,-0.968694
Chapter One,1,Yes,"Princess Royal University Hospital, Farnborough Hill, Orpington, Farnborough, Kent BR6 8NF",London,British,Farnborough,$,51.365776,0.052963
Hakkasan Hanway Place,1,Yes,"8 Hanway Place, London, Greater London W1T 1HD",London,British,Bloomsbury,$,51.516969,-0.132122
Pied a Terre,1,Yes,"34 Charlotte Street, London, London W1T 2NH",London,British,Bloomsbury,$,51.519048,-0.135188
Club Gascon,1,Yes,"59 West Smithfield, City of London, London EC1A 9DS",London,British,City of London,$,51.518575,-0.100484
Rhodes Twenty Four,1,Yes,"Tower 42, 25 Old Broad Street, City of London, Greater London EC2N 1HQ",London,British,City of London,$,51.515361,-0.084341
Harwood Arms,1,Yes,"Walham Grove, London SW6 1QP",London,British,Fulham,$,51.482241,-0.197626
River Cafe,1,Yes,"Thames Wharf, Rainville Road, London, Greater London W6 9HA",London,British,Hammersmith,$,51.483457,-0.223611
La Trompette,1,Yes,"5-7 Devonshire Rd, Chiswick, Greater London W4 2EU",London,British,Chiswick,$,51.491872,-0.255981
North Road,1,Yes,"69-73 Saint John Street, London, EC1M 4AN",London,British,Clerkenwell,$,51.521535,-0.1019
St John,1,Yes,"26 St. John Street, London EC1M 4AY",London,British,Clerkenwell,$,51.520437,-0.101487
Rasoi,1,Yes,"10 Lincoln Street, London SW3 2TS",London,British,Chelsea,$,51.491283,-0.161304
Kitchen W8,1,Yes,"11-13 Abingdon Road, London W8 6AH",London,British,Kensington,$,51.499075,-0.196798
The Glasshouse,1,Yes,"14, Kew, Surrey TW9 3PZ",London,British,Kew,$,51.480647,-0.281733
Petersham Nurseries Cafe,1,Yes,"Church Lane, Petersham Road, Richmond, Surrey TW10 7AG",London,British,Richmond,$,51.446468,-0.30403
Viajante,1,Yes,"Patriot Square, City of London E2 9NF",London,British,Bethnal Green,$,51.530615,-0.055696
Galvin La Chapelle,1,Yes,"35 Spital Square, City of London E1 6DY",London,British,Spitalfields,$$,51.520398,-0.078293
Chez Bruce,1,Yes,"2 Bellevue Road, London SW17 7EG",London,Italian,Wandsworth,$$,51.445585,-0.165986
Amaya,1,Yes,"Halkin Arcade, Motcomb Street, London SW1X 8JT",London,Italian,Belgravia,$$,51.499236,-0.156965
Apsleys ,1,Yes,"Hyde Park Corner, London SW1X 7TA",London,Italian,Belgravia,$$,51.50303,-0.15242
Petrus,1,Yes,"1 Kinnerton Street, Knightsbridge, London SW1X 8EA",London,Italian,Belgravia,$$,51.50003,-0.157058
Zafferano,1,Yes,"15 Lowndes Street, London, SW1X 9EY",London,Italian,Belgravia,$$,51.49897,-0.157664
Dinner by Heston Blumenthal,1,Yes,"66 Knightsbridge, Westminster, London SW1X 7LA",London,Italian,Hyde Park  & Knightsbridge,$$,51.501643,-0.161109
Benares,1,Yes,"12 Berkeley Square, City of Westminster, W1J 6BS",London,Italian,Mayfair,$$,51.509692,-0.145099
Galvin at Windows,1,Yes,"The London Hilton on Park Lane, 22 Park Lane, London W1K 1BE",London,Italian,Mayfair,$$,51.505596,-0.150176
Greenhouse,1,No,"27A Hay's Mews, London W1J 5NY",London,Italian,Mayfair,$$,51.507932,-0.149462
Hakkasan Mayfair,1,No,"17 Bruton Street, London W1J 6QB",London,Italian,Mayfair,$$,51.510492,-0.144569
Kai,1,No,"65 South Audley Street, London W1K 2QU",London,Italian,Mayfair,$$,51.508736,-0.151528
Maze,1,No,"10-13 Grosvenor Square, Westminster, Mayfair W1K 6JP",London,Italian,Mayfair,$$,51.511161,-0.1499
Murano,1,No,"20 Queen Street, London W1J 5PP",London,Italian,Mayfair,$$,51.50705,-0.147114
Nobu (Metropolitanl),1,No,"15 Berkeley Street, London W1J 8DY",London,Italian,Mayfair,$$,51.508374,-0.143457
Nobu Berkeley St,1,No,"15 Berkeley Street, London W1J 8DY",London,Italian,Mayfair,$$,51.508374,-0.143457
Pollen Street Social,1,No,"8 Pollen Street, London W1S 1NQ",London,Italian,Mayfair,$$,51.51369,-0.142253
Semplice,1,No,"10 Blenheim Street, London W1S 1LJ",London,Italian,Mayfair,$$,51.513843,-0.14683
Sketch (The Lecture Room & Library),1,No,"9 Conduit Street, London W1S 2XG",London,Italian,Mayfair,$$,51.512666,-0.141479
Tamarind,1,No,"20 Queen St, Westminster, London W1J 5PR",London,Italian,Mayfair,$$,51.50705,-0.147114
Umu,1,No,"14-16 Bruton Place, London W1J 6LX",London,Italian,Mayfair,$$,51.511366,-0.144338
Wild Honey,1,No,"12 St. George Street, London W1S 2FB",London,Italian,Mayfair,$$,51.512474,-0.143219
L'Autre Pied,1,No,"5-7 Blandford Street, London, Greater London W1U 3DB",London,Italian,Regent's Park & Marylebone,$$,51.518198,-0.152087
Locanda Locatelli,1,No,"8 Seymour Street, London W1H 7JZ",London,Italian,Regent's Park & Marylebone,$$$,51.514945,-0.1571
Rhodes W1 (Restaurant),1,No,"Great Cumberland Place , W1H 7DL",London,Italian,Regent's Park & Marylebone,$$$,51.515155,-0.159916
Texture,1,No,"34 Portman Street, London W1H 7BY",London,French,Regent's  Park & Marylebone,$$$,51.514919,-0.156638
Seven Park Place,1,No,"7-8 Park Place, St. James's, London, SW1A 1LS, United Kingdom",London,French,St James's,$$$,51.506105,-0.140299
Arbutus,1,No,"63-64 Frith Street, London, W1D 3JW",London,French,Soho,$$$$,51.514405,-0.13217
Gauthier-Soho,1,No,"21 Romilly Street, City of Westminster, W1D 5AF",London,French,Soho,$$$$,51.512906,-0.13096
Yauatcha,1,No,"15 Broadwick Street, London W1F 0DL",London,French,Soho,$$$$,51.513525,-0.13527
Quilon,1,No,"41 Buckingham Gate, Westminster, London SW1E 6AF",London,French,Victoria,,51.498471,-0.137469
